자치구,동,인구,면적,인구밀도
서대문구,서울특별시 서대문구 신촌동,"23,051",2.63,"8,765"
서대문구,서울특별시 서대문구 연희동,"39,105",3.05,"12,821"
마포구,서울특별시 마포구 용강동,"22,257",0.84,"26,496"
마포구,서울특별시 마포구 대흥동,"15,863",0.87,"18,233"
마포구,서울특별시 마포구 염리동,"12,864",0.44,"29,236"
마포구,서울특별시 마포구 신수동,"23,606",0.78,"30,264"
마포구,서울특별시 마포구 서교동,"26,981",1.65,"16,352"
마포구,서울특별시 마포구 합정동,"18,576",1.72,"10,800"
마포구,서울특별시 마포구 망원1동,"21,113",1.13,"18,684"
마포구,서울특별시 마포구 망원2동,"19,216",0.67,"28,681"
마포구,서울특별시 마포구 연남동,"16,682",0.64,"26,066"
마포구,서울특별시 마포구 성산1동,"19,679",0.8,"24,599"
마포구,서울특별시 마포구 성산2동,"40,669",2.07,"19,647"
마포구,서울특별시 마포구 상암동,"31,997",8.4,"3,809"
마포구,서울특별시 마포구 도화동,"21,998",0.62,"35,481"
마포구,서울특별시 마포구 서강동,"25,386",1.45,"17,508"
마포구,서울특별시 마포구 공덕동,"38,750",1.01,"38,366"
마포구,서울특별시 마포구 아현동,"26,221",0.76,"34,501"
양천구,서울특별시 양천구 목1동,"31,727",1.41,"22,501"
양천구,서울특별시 양천구 목2동,"30,705",1.03,"29,811"
양천구,서울특별시 양천구 목3동,"22,643",0.53,"42,723"
양천구,서울특별시 양천구 목4동,"26,190",0.57,"45,947"
양천구,서울특별시 양천구 신월1동,"21,246",0.65,"32,686"
양천구,서울특별시 양천구 신월2동,"21,520",0.61,"35,279"
양천구,서울특별시 양천구 신월3동,"15,965",0.87,"18,351"
양천구,서울특별시 양천구 신월4동,"18,487",0.52,"35,552"
양천구,서울특별시 양천구 신월5동,"15,189",0.69,"22,013"
양천구,서울특별시 양천구 신월6동,"13,798",0.41,"33,654"
양천구,서울특별시 양천구 신월7동,"20,651",1.19,"17,354"
양천구,서울특별시 양천구 신정1동,"21,074",0.7,"30,106"
양천구,서울특별시 양천구 신정2동,"20,207",0.52,"38,860"
양천구,서울특별시 양천구 신정3동,"46,787",2.72,"17,201"
양천구,서울특별시 양천구 신정6동,"25,038",0.96,"26,081"
양천구,서울특별시 양천구 신정7동,"30,075",1.21,"24,855"
양천구,서울특별시 양천구 목5동,"42,288",1.81,"23,364"
양천구,서울특별시 양천구 신정4동,"34,191",1.01,"33,852"
강서구,서울특별시 강서구 염창동,"42,017",1.74,"24,148"
강서구,서울특별시 강서구 등촌1동,"24,338",0.64,"38,028"
강서구,서울특별시 강서구 등촌2동,"21,216",0.92,"23,061"
강서구,서울특별시 강서구 등촌3동,"31,660",0.79,"40,076"
강서구,서울특별시 강서구 화곡본동,"34,981",0.98,"35,695"
강서구,서울특별시 강서구 화곡2동,"18,727",0.45,"41,616"
강서구,서울특별시 강서구 화곡3동,"21,938",0.53,"41,392"
강서구,서울특별시 강서구 화곡4동,"21,413",0.82,"26,113"
강서구,서울특별시 강서구 화곡6동,"25,133",1.11,"22,642"
강서구,서울특별시 강서구 화곡8동,"25,674",0.53,"48,442"
강서구,서울특별시 강서구 가양1동,"34,540",4.7,"7,349"
강서구,서울특별시 강서구 가양2동,"14,588",1,"14,588"
강서구,서울특별시 강서구 가양3동,"15,583",0.5,"31,166"
강서구,서울특별시 강서구 발산1동,"37,530",2.94,"12,765"
강서구,서울특별시 강서구 공항동,"27,627",10.87,"2,542"
강서구,서울특별시 강서구 방화1동,"44,550",1.48,"30,101"
강서구,서울특별시 강서구 방화2동,"23,442",6.41,"3,657"
강서구,서울특별시 강서구 방화3동,"23,577",2.55,"9,246"
강서구,서울특별시 강서구 화곡1동,"53,380",1.12,"47,661"
강서구,서울특별시 강서구 우장산동,"43,987",1.36,"32,343"
구로구,서울특별시 구로구 신도림동,"36,494",1.47,"24,826"
구로구,서울특별시 구로구 구로1동,"21,632",1.02,"21,208"
구로구,서울특별시 구로구 구로3동,"25,722",1.02,"25,218"
구로구,서울특별시 구로구 구로4동,"25,031",0.46,"54,415"
구로구,서울특별시 구로구 구로5동,"32,339",1.03,"31,397"
구로구,서울특별시 구로구 고척1동,"23,547",1.16,"20,299"
구로구,서울특별시 구로구 고척2동,"27,853",1.02,"27,307"
구로구,서울특별시 구로구 개봉2동,"32,218",0.8,"40,273"
구로구,서울특별시 구로구 개봉3동,"21,284",0.81,"26,277"
구로구,서울특별시 구로구 오류1동,"23,360",0.59,"39,593"
구로구,서울특별시 구로구 수궁동,"24,297",2.67,"9,100"
구로구,서울특별시 구로구 가리봉동,"14,263",0.4,"35,658"
구로구,서울특별시 구로구 구로2동,"33,050",1.76,"18,778"
구로구,서울특별시 구로구 개봉1동,"35,239",1.31,"26,900"
구로구,서울특별시 구로구 오류2동,"39,755",3.2,"12,423"
구로구,서울특별시 구로구 항동,"16,404",1.4,"11,717"
금천구,서울특별시 금천구 가산동,"25,973",2.52,"10,307"
금천구,서울특별시 금천구 독산1동,"44,191",2.09,"21,144"
금천구,서울특별시 금천구 독산2동,"20,666",0.6,"34,443"
금천구,서울특별시 금천구 독산3동,"28,535",0.92,"31,016"
금천구,서울특별시 금천구 독산4동,"17,464",0.59,"29,600"
금천구,서울특별시 금천구 시흥1동,"35,781",1.71,"20,925"
금천구,서울특별시 금천구 시흥2동,"22,092",1.26,"17,533"
금천구,서울특별시 금천구 시흥3동,"11,285",1.07,"10,547"
금천구,서울특별시 금천구 시흥4동,"21,520",0.87,"24,736"
금천구,서울특별시 금천구 시흥5동,"20,328",1.39,"14,624"
영등포구,서울특별시 영등포구 여의동,"34,463",8.4,"4,103"
영등포구,서울특별시 영등포구 당산1동,"21,197",0.75,"28,263"
영등포구,서울특별시 영등포구 당산2동,"38,011",1.55,"24,523"
영등포구,서울특별시 영등포구 양평1동,"17,702",0.88,"20,116"
영등포구,서울특별시 영등포구 양평2동,"22,603",3,"7,534"
영등포구,서울특별시 영등포구 신길1동,"19,167",0.66,"29,041"
영등포구,서울특별시 영등포구 신길3동,"18,086",0.52,"34,781"
영등포구,서울특별시 영등포구 신길4동,"12,974",0.38,"34,142"
영등포구,서울특별시 영등포구 신길5동,"12,496",0.47,"26,587"
영등포구,서울특별시 영등포구 신길6동,"19,071",0.65,"29,340"
영등포구,서울특별시 영등포구 신길7동,"20,494",0.64,"32,022"
영등포구,서울특별시 영등포구 대림1동,"17,751",0.49,"36,227"
영등포구,서울특별시 영등포구 대림2동,"19,776",0.55,"35,956"
영등포구,서울특별시 영등포구 대림3동,"26,973",0.95,"28,393"
영등포구,서울특별시 영등포구 영등포본동,"23,790",1.02,"23,324"
영등포구,서울특별시 영등포구 영등포동,"28,749",1.26,"22,817"
영등포구,서울특별시 영등포구 도림동,"20,665",0.89,"23,219"
동작구,서울특별시 동작구 노량진2동,"13,512",0.64,"21,113"
동작구,서울특별시 동작구 상도1동,"46,840",1.51,"31,020"
동작구,서울특별시 동작구 상도2동,"28,162",0.98,"28,737"
동작구,서울특별시 동작구 상도3동,"25,416",0.6,"42,360"
동작구,서울특별시 동작구 상도4동,"29,306",0.75,"39,075"
동작구,서울특별시 동작구 사당1동,"23,632",0.79,"29,914"
동작구,서울특별시 동작구 사당3동,"25,244",0.92,"27,439"
동작구,서울특별시 동작구 사당4동,"14,599",0.38,"38,418"
동작구,서울특별시 동작구 사당5동,"14,811",0.57,"25,984"
동작구,서울특별시 동작구 대방동,"39,172",1.55,"25,272"
동작구,서울특별시 동작구 신대방1동,"25,823",0.62,"41,650"
동작구,서울특별시 동작구 신대방2동,"20,466",1.03,"19,870"
동작구,서울특별시 동작구 흑석동,"34,544",1.68,"20,562"
동작구,서울특별시 동작구 노량진1동,"32,387",1.58,"20,498"
동작구,서울특별시 동작구 사당2동,"27,658",2.75,"10,057"
관악구,서울특별시 관악구 보라매동,"25,278",0.76,"33,261"
관악구,서울특별시 관악구 청림동,"15,711",0.3,"52,370"
관악구,서울특별시 관악구 행운동,"29,799",0.72,"41,388"
관악구,서울특별시 관악구 낙성대동,"17,579",2.27,"7,744"
관악구,서울특별시 관악구 중앙동,"15,758",0.39,"40,405"
관악구,서울특별시 관악구 인헌동,"26,500",1.08,"24,537"
관악구,서울특별시 관악구 남현동,"18,598",3.27,"5,687"
관악구,서울특별시 관악구 서원동,"23,565",0.65,"36,254"
관악구,서울특별시 관악구 신원동,"19,290",0.55,"35,073"
관악구,서울특별시 관악구 서림동,"24,410",0.99,"24,657"
관악구,서울특별시 관악구 신사동,"25,426",0.64,"39,728"
관악구,서울특별시 관악구 신림동,"22,667",0.54,"41,976"
관악구,서울특별시 관악구 난향동,"15,915",0.8,"19,894"
관악구,서울특별시 관악구 조원동,"19,232",0.67,"28,704"
관악구,서울특별시 관악구 대학동,"24,907",8.3,"3,001"
관악구,서울특별시 관악구 은천동,"34,595",0.78,"44,353"
관악구,서울특별시 관악구 성현동,"30,472",0.68,"44,812"
관악구,서울특별시 관악구 청룡동,"36,325",1.18,"30,784"
관악구,서울특별시 관악구 난곡동,"28,054",0.96,"29,223"
관악구,서울특별시 관악구 삼성동,"23,935",2.66,"8,998"
관악구,서울특별시 관악구 미성동,"31,787",1.38,"23,034"
서초구,서울특별시 서초구 서초1동,"21,187",1.42,"14,920"
서초구,서울특별시 서초구 서초2동,"21,731",1.24,"17,525"
서초구,서울특별시 서초구 서초3동,"32,307",2.93,"11,026"
서초구,서울특별시 서초구 서초4동,"31,718",0.88,"36,043"
서초구,서울특별시 서초구 잠원동,"28,532",1.76,"16,211"
서초구,서울특별시 서초구 반포본동,"11,991",1.01,"11,872"
서초구,서울특별시 서초구 반포1동,"32,630",1,"32,630"
서초구,서울특별시 서초구 반포2동,"16,240",1.35,"12,030"
서초구,서울특별시 서초구 반포3동,"22,412",1.28,"17,509"
서초구,서울특별시 서초구 반포4동,"19,977",1.43,"13,970"
